source,station,station_id,period_start,period_end,products,source_scale_m,valid_pixels,total_pixels,valid_area_m2,total_area_m2,coverage_pct
HLS,Palma,00000000000000000001,2021-09-22,2021-09-30,5,30,210.70588235294113,243.80784313725482,185224.36965332026,214323.03965705412,86.42298557808078
HLS,Bananera,00000000000000000002,2021-09-22,2021-09-30,5,30,26.533333333333335,243.75686274509803,23323.9531312232,214272.54065539807,10.885180648851195
HLS,Manglar,00000000000000000003,2021-09-22,2021-09-30,5,30,241.91372549019607,241.91372549019607,212555.60338039036,212555.60338039036,100.0
HLS,Bosque seco,00000000000000000004,2021-09-22,2021-09-30,5,30,243.64705882352945,243.64705882352945,214272.15992838528,214272.15992838528,100.0
S2,Pastos limpios,00000000000000000000,2021-09-22,2021-09-30,2,20,545.6705882352941,545.6705882352941,213165.6486693139,213165.6486693139,100.0
S2,Palma,00000000000000000001,2021-09-22,2021-09-30,2,20,529.6039215686276,545.6039215686275,206913.98404397385,213165.1321457805,97.0674621881727
S2,Bananera,00000000000000000002,2021-09-22,2021-09-30,2,20,366.75294117647064,545.5333333333333,143284.9901583802,213131.89231938383,67.22831979723796
S2,Manglar,00000000000000000003,2021-09-22,2021-09-30,2,20,545.850980392157,545.850980392157,213158.9788100297,213158.9788100297,100.0
S2,Bosque seco,00000000000000000004,2021-09-22,2021-09-30,2,20,545.3686274509803,545.3686274509803,213163.19644153066,213163.19644153066,100.0
HLS,Pastos limpios,00000000000000000000,2021-09-30,2021-10-08,6,30,0.0,243.78431372549025,0.0,214276.69850116826,0.0
HLS,Palma,00000000000000000001,2021-09-30,2021-10-08,6,30,161.26274509803915,243.80784313725482,141760.22687294136,214323.03965705412,66.1432513740832
HLS,Bananera,00000000000000000002,2021-09-30,2021-10-08,6,30,0.0,243.75686274509803,0.0,214272.54065539807,0.0
HLS,Manglar,00000000000000000003,2021-09-30,2021-10-08,6,30,58.67843137254903,241.91372549019607,51557.602019186575,212555.60338039036,24.25605403914894
HLS,Bosque seco,00000000000000000004,2021-09-30,2021-10-08,6,30,243.49411764705889,243.64705882352945,214137.65702239383,214272.15992838528,99.9372280066452
S2,Pastos limpios,00000000000000000000,2021-09-30,2021-10-08,4,20,0.0,545.6705882352941,0.0,213165.6486693139,0.0
S2,Palma,00000000000000000001,2021-09-30,2021-10-08,4,20,545.6039215686275,545.6039215686275,213165.1321457805,213165.1321457805,100.0
S2,Bananera,00000000000000000002,2021-09-30,2021-10-08,4,20,283.843137254902,545.5333333333333,110893.06437246288,213131.89231938383,52.03025373897899
S2,Manglar,00000000000000000003,2021-09-30,2021-10-08,4,20,432.3686274509805,545.850980392157,168843.44116486187,213158.9788100297,79.21010041774386
S2,Bosque seco,00000000000000000004,2021-09-30,2021-10-08,4,20,545.3686274509803,545.3686274509803,213163.19644153066,213163.19644153066,100.0
HLS,Pastos limpios,00000000000000000000,2021-10-08,2021-10-16,10,30,0.0,243.78431372549025,0.0,214276.69850116826,0.0
HLS,Palma,00000000000000000001,2021-10-08,2021-10-16,10,30,0.0,243.80784313725482,0.0,214323.03965705412,0.0
HLS,Bananera,00000000000000000002,2021-10-08,2021-10-16,10,30,83.10588235294117,243.75686274509803,73053.80134037991,214272.54065539807,34.09386994569129
HLS,Manglar,00000000000000000003,2021-10-08,2021-10-16,10,30,0.0,241.91372549019607,0.0,212555.60338039036,0.0
HLS,Bosque seco,00000000000000000004,2021-10-08,2021-10-16,10,30,0.0,243.64705882352945,0.0,214272.15992838528,0.0
S2,Pastos limpios,00000000000000000000,2021-10-08,2021-10-16,4,20,0.0,545.6705882352941,0.0,213165.6486693139,0.0
S2,Palma,00000000000000000001,2021-10-08,2021-10-16,4,20,155.80784313725493,545.6039215686275,60873.57223750095,213165.1321457805,28.557002556999056
S2,Bananera,00000000000000000002,2021-10-08,2021-10-16,4,20,538.6470588235294,545.5333333333333,210441.5424438477,213131.89231938383,98.73770656927093
S2,Manglar,00000000000000000003,2021-10-08,2021-10-16,4,20,0.0,545.850980392157,0.0,213158.9788100297,0.0
S2,Bosque seco,00000000000000000004,2021-10-08,2021-10-16,4,20,53.27058823529412,545.3686274509803,20821.44906173407,213163.19644153066,9.767844266421134
HLS,Pastos limpios,00000000000000000000,2021-10-16,2021-10-24,6,30,54.86274509803923,243.78431372549025,48222.35230545343,214276.69850116826,22.504711264809092
HLS,Palma,00000000000000000001,2021-10-16,2021-10-24,6,30,0.0,243.80784313725482,0.0,214323.03965705412,0.0
HLS,Bananera,00000000000000000002,2021-10-16,2021-10-24,6,30,0.0,243.75686274509803,0.0,214272.54065539807,0.0
HLS,Manglar,00000000000000000003,2021-10-16,2021-10-24,6,30,0.0,241.91372549019607,0.0,212555.60338039036,0.0
HLS,Bosque seco,00000000000000000004,2021-10-16,2021-10-24,6,30,0.0,243.64705882352945,0.0,214272.15992838528,0.0
S2,Pastos limpios,00000000000000000000,2021-10-16,2021-10-24,2,20,389.7529411764706,545.6705882352941,152256.73689371746,213165.6486693139,71.42648820022353
S2,Palma,00000000000000000001,2021-10-16,2021-10-24,2,20,0.0,545.6039215686275,0.0,213165.1321457805,0.0
S2,Bananera,00000000000000000002,2021-10-16,2021-10-24,2,20,0.0,545.5333333333333,0.0,213131.89231938383,0.0
S2,Manglar,00000000000000000003,2021-10-16,2021-10-24,2,20,0.0,545.850980392157,0.0,213158.9788100297,0.0
S2,Bosque seco,00000000000000000004,2021-10-16,2021-10-24,2,20,0.0,545.3686274509803,0.0,213163.19644153066,0.0
HLS,Pastos limpios,00000000000000000000,2021-10-24,2021-11-01,6,30,243.78431372549025,243.78431372549025,214276.69850116826,214276.69850116826,100.0
HLS,Palma,00000000000000000001,2021-10-24,2021-11-01,6,30,243.80784313725482,243.80784313725482,214323.03965705412,214323.03965705412,100.0
HLS,Bananera,00000000000000000002,2021-10-24,2021-11-01,6,30,243.75686274509803,243.75686274509803,214272.54065539807,214272.54065539807,100.0
HLS,Manglar,00000000000000000003,2021-10-24,2021-11-01,6,30,241.91372549019607,241.91372549019607,212555.60338039036,212555.60338039036,100.0
HLS,Bosque seco,00000000000000000004,2021-10-24,2021-11-01,6,30,243.64705882352945,243.64705882352945,214272.15992838528,214272.15992838528,100.0
S2,Pastos limpios,00000000000000000000,2021-10-24,2021-11-01,4,20,463.1372549019607,545.6705882352941,180923.92608798153,213165.6486693139,84.87480380511529
S2,Palma,00000000000000000001,2021-10-24,2021-11-01,4,20,11.035294117647059,545.6039215686275,4311.451141836129,213165.1321457805,2.022587417761921
S2,Bananera,00000000000000000002,2021-10-24,2021-11-01,4,20,0.0,545.5333333333333,0.0,213131.89231938383,0.0
S2,Manglar,00000000000000000003,2021-10-24,2021-11-01,4,20,545.850980392157,545.850980392157,213158.9788100297,213158.9788100297,100.0
S2,Bosque seco,00000000000000000004,2021-10-24,2021-11-01,4,20,545.3686274509803,545.3686274509803,213163.19644153066,213163.19644153066,100.0
HLS,Pastos limpios,00000000000000000000,2021-11-01,2021-11-09,6,30,0.22745098039215686,243.78431372549025,199.92174862132353,214276.69850116826,0.09330074152707442
HLS,Palma,00000000000000000001,2021-11-01,2021-11-09,6,30,0.0,243.80784313725482,0.0,214323.03965705412,0.0
HLS,Bananera,00000000000000000002,2021-11-01,2021-11-09,6,30,0.0,243.75686274509803,0.0,214272.54065539807,0.0
HLS,Manglar,00000000000000000003,2021-11-01,2021-11-09,6,30,0.0,241.91372549019607,0.0,212555.60338039036,0.0
HLS,Bosque seco,00000000000000000004,2021-11-01,2021-11-09,6,30,0.0,243.64705882352945,0.0,214272.15992838528,0.0
S2,Pastos limpios,00000000000000000000,2021-11-01,2021-11-09,2,20,183.8392156862745,545.6705882352941,71816.85459211761,213165.6486693139,33.690632163500155
S2,Palma,00000000000000000001,2021-11-01,2021-11-09,2,20,0.0,545.6039215686275,0.0,213165.1321457805,0.0
S2,Bananera,00000000000000000002,2021-11-01,2021-11-09,2,20,0.0,545.5333333333333,0.0,213131.89231938383,0.0
S2,Manglar,00000000000000000003,2021-11-01,2021-11-09,2,20,0.0,545.850980392157,0.0,213158.9788100297,0.0
S2,Bosque seco,00000000000000000004,2021-11-01,2021-11-09,2,20,0.0,545.3686274509803,0.0,213163.19644153066,0.0
HLS,Pastos limpios,00000000000000000000,2021-11-09,2021-11-17,8,30,239.51764705882354,243.78431372549025,210526.4887877223,214276.69850116826,98.24982849760237
HLS,Palma,00000000000000000001,2021-11-09,2021-11-17,8,30,52.75686274509805,243.80784313725482,46376.95264868643,214323.03965705412,21.63880874538539
HLS,Bananera,00000000000000000002,2021-11-09,2021-11-17,8,30,0.0,243.75686274509803,0.0,214272.54065539807,0.0
HLS,Manglar,00000000000000000003,2021-11-09,2021-11-17,8,30,241.91372549019607,241.91372549019607,212555.60338039036,212555.60338039036,100.0
HLS,Bosque seco,00000000000000000004,2021-11-09,2021-11-17,8,30,0.0,243.64705882352945,0.0,214272.15992838528,0.0
S2,Pastos limpios,00000000000000000000,2021-11-09,2021-11-17,4,20,545.6705882352941,545.6705882352941,213165.6486693139,213165.6486693139,100.0
S2,Palma,00000000000000000001,2021-11-09,2021-11-17,4,20,545.6039215686275,545.6039215686275,213165.1321457805,213165.1321457805,100.0
S2,Bananera,00000000000000000002,2021-11-09,2021-11-17,4,20,545.5333333333333,545.5333333333333,213131.89231938383,213131.89231938383,100.0
S2,Manglar,00000000000000000003,2021-11-09,2021-11-17,4,20,545.850980392157,545.850980392157,213158.9788100297,213158.9788100297,100.0
S2,Bosque seco,00000000000000000004,2021-11-09,2021-11-17,4,20,523.2392156862744,545.3686274509803,204513.72713718785,213163.19644153066,95.94232520025318
HLS,Pastos limpios,00000000000000000000,2021-11-17,2021-11-25,9,30,243.78431372549025,243.78431372549025,214276.69850116826,214276.69850116826,100.0
HLS,Palma,00000000000000000001,2021-11-17,2021-11-25,9,30,243.80784313725482,243.80784313725482,214323.03965705412,214323.03965705412,100.0
HLS,Bananera,00000000000000000002,2021-11-17,2021-11-25,9,30,243.75686274509803,243.75686274509803,214272.54065539807,214272.54065539807,100.0
HLS,Manglar,00000000000000000003,2021-11-17,2021-11-25,9,30,241.91372549019607,241.91372549019607,212555.60338039036,212555.60338039036,100.0
HLS,Bosque seco,00000000000000000004,2021-11-17,2021-11-25,9,30,185.27843137254908,243.64705882352945,162940.4173691692,214272.15992838528,76.0436714800596
S2,Pastos limpios,00000000000000000000,2021-11-17,2021-11-25,4,20,545.6705882352941,545.6705882352941,213165.6486693139,213165.6486693139,100.0
S2,Palma,00000000000000000001,2021-11-17,2021-11-25,4,20,545.6039215686275,545.6039215686275,213165.1321457805,213165.1321457805,100.0
S2,Bananera,00000000000000000002,2021-11-17,2021-11-25,4,20,545.5333333333333,545.5333333333333,213131.89231938383,213131.89231938383,100.0
S2,Manglar,00000000000000000003,2021-11-17,2021-11-25,4,20,545.850980392157,545.850980392157,213158.9788100297,213158.9788100297,100.0
S2,Bosque seco,00000000000000000004,2021-11-17,2021-11-25,4,20,545.3686274509803,545.3686274509803,213163.19644153066,213163.19644153066,100.0
HLS,Pastos limpios,00000000000000000000,2021-11-25,2021-12-03,8,30,243.78431372549025,243.78431372549025,214276.69850116826,214276.69850116826,100.0
HLS,Palma,00000000000000000001,2021-11-25,2021-12-03,8,30,243.80784313725482,243.80784313725482,214323.03965705412,214323.03965705412,100.0
HLS,Bananera,00000000000000000002,2021-11-25,2021-12-03,8,30,243.75686274509803,243.75686274509803,214272.54065539807,214272.54065539807,100.0
HLS,Manglar,00000000000000000003,2021-11-25,2021-12-03,8,30,241.91372549019607,241.91372549019607,212555.60338039036,212555.60338039036,100.0
HLS,Bosque seco,00000000000000000004,2021-11-25,2021-12-03,8,30,243.64705882352945,243.64705882352945,214272.15992838528,214272.15992838528,100.0
S2,Pastos limpios,00000000000000000000,2021-11-25,2021-12-03,2,20,545.6705882352941,545.6705882352941,213165.6486693139,213165.6486693139,100.0
S2,Palma,00000000000000000001,2021-11-25,2021-12-03,2,20,545.6039215686275,545.6039215686275,213165.1321457805,213165.1321457805,100.0
S2,Bananera,00000000000000000002,2021-11-25,2021-12-03,2,20,545.5333333333333,545.5333333333333,213131.89231938383,213131.89231938383,100.0
S2,Manglar,00000000000000000003,2021-11-25,2021-12-03,2,20,545.850980392157,545.850980392157,213158.9788100297,213158.9788100297,100.0
S2,Bosque seco,00000000000000000004,2021-11-25,2021-12-03,2,20,545.3686274509803,545.3686274509803,213163.19644153066,213163.19644153066,100.0
HLS,Pastos limpios,00000000000000000000,2021-12-03,2021-12-11,7,30,243.78431372549025,243.78431372549025,214276.69850116826,214276.69850116826,100.0
HLS,Palma,00000000000000000001,2021-12-03,2021-12-11,7,30,243.80784313725482,243.80784313725482,214323.03965705412,214323.03965705412,100.0
HLS,Bananera,00000000000000000002,2021-12-03,2021-12-11,7,30,243.75686274509803,243.75686274509803,214272.54065539807,214272.54065539807,100.0
HLS,Manglar,00000000000000000003,2021-12-03,2021-12-11,7,30,241.91372549019607,241.91372549019607,212555.60338039036,212555.60338039036,100.0
HLS,Bosque seco,00000000000000000004,2021-12-03,2021-12-11,7,30,243.64705882352945,243.64705882352945,214272.15992838528,214272.15992838528,100.0
S2,Pastos limpios,00000000000000000000,2021-12-03,2021-12-11,4,20,545.6705882352941,545.6705882352941,213165.6486693139,213165.6486693139,100.0
S2,Palma,00000000000000000001,2021-12-03,2021-12-11,4,20,545.6039215686275,545.6039215686275,213165.1321457805,213165.1321457805,100.0
S2,Bananera,00000000000000000002,2021-12-03,2021-12-11,4,20,545.5333333333333,545.5333333333333,213131.89231938383,213131.89231938383,100.0
S2,Manglar,00000000000000000003,2021-12-03,2021-12-11,4,20,545.850980392157,545.850980392157,213158.9788100297,213158.9788100297,100.0
S2,Bosque seco,00000000000000000004,2021-12-03,2021-12-11,4,20,545.3686274509803,545.3686274509803,213163.19644153066,213163.19644153066,100.0
HLS,Pastos limpios,00000000000000000000,2021-12-11,2021-12-19,8,30,243.78431372549025,243.78431372549025,214276.69850116826,214276.69850116826,100.0
HLS,Palma,00000000000000000001,2021-12-11,2021-12-19,8,30,243.80784313725482,243.80784313725482,214323.03965705412,214323.03965705412,100.0
HLS,Bananera,00000000000000000002,2021-12-11,2021-12-19,8,30,243.75686274509803,243.75686274509803,214272.54065539807,214272.54065539807,100.0
HLS,Manglar,00000000000000000003,2021-12-11,2021-12-19,8,30,241.91372549019607,241.91372549019607,212555.60338039036,212555.60338039036,100.0
HLS,Bosque seco,00000000000000000004,2021-12-11,2021-12-19,8,30,243.64705882352945,243.64705882352945,214272.15992838528,214272.15992838528,100.0
