station,period_start,period_end,albedo_hls,albedo_s2,coverage_hls,coverage_s2,difference_hls_minus_s2
Bananera,2023-04-07,2023-04-15,0.1983480134740109,0.23407329202628438,99.82011776104834,99.28874005452272,-0.035725278552273476
Bananera,2023-04-15,2023-04-23,0.18377745696881867,0.2377700253555476,99.82011776104834,99.28874005452272,-0.05399256838672892
Bananera,2023-04-23,2023-05-01,0.15341709503733106,0.19183765758376145,93.14599989752712,92.46040113206404,-0.03842056254643039
Bananera,2023-05-01,2023-05-09,0.17683338888109174,0.2040392210820576,99.82011776108571,99.28874005455988,-0.027205832200965868
Bananera,2023-05-09,2023-05-17,0.1687906211745417,0.19189055907646105,99.82011776104834,99.28874005452272,-0.02309993790191936
Bananera,2023-06-02,2023-06-10,0.1880031239622891,0.20955560824384026,99.82011776104834,99.28874005452272,-0.021552484281551154
Bananera,2023-06-18,2023-06-26,0.16130866890802847,0.1772083274651088,99.82011776104834,99.28874005452272,-0.015899658557080337
Bananera,2023-07-20,2023-07-28,0.16945030216939044,0.19426690965426646,99.82011776108571,99.28874005455988,-0.02481660748487602
Bananera,2023-08-05,2023-08-13,0.1632353327876679,0.18332252399729984,99.82011776104834,99.28874005452272,-0.020087191209631955
Bananera,2023-08-13,2023-08-21,0.17042095557837716,0.20639141855293125,99.82011776104834,99.28874005452272,-0.035970462974554085
Bananera,2023-09-14,2023-09-22,0.1707670429827356,0.19793524129769285,99.82011776108571,99.28874005455988,-0.02716819831495726
Bananera,2023-09-22,2023-09-30,0.1672714750348749,0.2372530008770306,99.82011776108571,99.28874005455988,-0.0699815258421557
Bananera,2023-09-30,2023-10-08,0.1646009388538251,0.19541885112868718,99.82011776108571,99.28874005455988,-0.03081791227486208
Bananera,2023-11-09,2023-11-17,0.1568883387643862,0.1734737153797118,99.82011776108571,99.28874005455988,-0.01658537661532558
Bananera,2023-11-17,2023-11-25,0.15371747010383002,0.16877387757296386,99.82011776108571,99.28874005455988,-0.015056407469133837
