source,station,station_id,period_start,period_end,source_scale_m,NDVI_p02,NDVI_p05,NDVI_p10,NDVI_p90,NDVI_p95,NDVI_p98,nonwater_pixel_count,coverage_pct,products
HLS,Manglar,00000000000000000003,2021-07-04,2021-07-12,30,0.768786129894136,0.7967943559050161,0.8174257583911766,0.8787741015509687,0.8829701405805493,0.8872279432744249,272,100.0,6
HLS,Bosque seco,00000000000000000004,2021-07-04,2021-07-12,30,0.7172633693826855,0.7887179469936855,0.8097032122540959,0.9086539640608353,0.911566906032512,0.920594473106953,271,100.0,6
HLS,Pastos limpios,00000000000000000000,2021-07-12,2021-07-20,30,0.572315050805847,0.5959805898172479,0.6565164410626049,0.8715383132270844,0.8839545407214721,0.8943602822100719,286,99.8761368353354,3
HLS,Palma,00000000000000000001,2021-07-12,2021-07-20,30,0.6868008972274915,0.7492317132551324,0.7989779175162074,0.8955319551465776,0.8992509358286581,0.9016645364748416,286,100.0,3
HLS,Bananera,00000000000000000002,2021-07-12,2021-07-20,30,0.5990201566640806,0.8038748863035636,0.8609500009125833,0.899848753360551,0.9045073203789541,0.9072780042942793,287,100.0,3
HLS,Manglar,00000000000000000003,2021-07-12,2021-07-20,30,0.7685333360671996,0.798461541033238,0.8167910467502972,0.8715847037012328,0.8754292455303027,0.877321386009777,223,83.0712090673294,3
HLS,Bosque seco,00000000000000000004,2021-07-12,2021-07-20,30,0.7526801262118303,0.7860858443453802,0.8076819771099866,0.9053986922043314,0.907199234401942,0.9135628588126716,271,100.0,3
HLS,Pastos limpios,00000000000000000000,2021-07-20,2021-07-28,30,0.45650007602794884,0.5122513827924715,0.5812163958951361,0.8327863013549368,0.848986983510718,0.8678802721673263,288,100.0,8
HLS,Palma,00000000000000000001,2021-07-20,2021-07-28,30,0.6807414965241008,0.7437604022222565,0.782374888461875,0.8837604488729629,0.8873451066080862,0.8937457933123674,286,100.0,8
HLS,Bananera,00000000000000000002,2021-07-20,2021-07-28,30,0.6186628870107053,0.7860939827799065,0.8379860439391841,0.8927575606748612,0.9038327251144356,0.9065614411956044,287,100.0,8
HLS,Manglar,00000000000000000003,2021-07-20,2021-07-28,30,0.7594848787454098,0.7865533612313909,0.7983858515599267,0.8627293902819125,0.8676902332466259,0.8751802205142488,272,100.0,8
HLS,Bosque seco,00000000000000000004,2021-07-20,2021-07-28,30,0.5825716162661295,0.6607820514881433,0.7527123977857713,0.8950413066352906,0.8987574811387682,0.9051451532441187,271,100.0,8
HLS,Pastos limpios,00000000000000000000,2021-07-28,2021-08-05,30,0.565554689211233,0.6304347935631304,0.7058090195678515,0.8484102197885327,0.8667479942943418,0.8775781777764308,288,100.0,5
HLS,Palma,00000000000000000001,2021-07-28,2021-08-05,30,0.6821345780854483,0.7439473087082525,0.7920380571996989,0.8933304738118399,0.8970660428125844,0.9013941702178286,286,100.0,5
HLS,Bananera,00000000000000000002,2021-07-28,2021-08-05,30,0.6050295829252196,0.7977965032343672,0.8410942123377335,0.888384608387189,0.8969614305177362,0.8996522501471313,282,99.2454670156796,5
HLS,Manglar,00000000000000000003,2021-07-28,2021-08-05,30,0.7640353413578215,0.7855955629045939,0.8029433732565068,0.8716308312309752,0.8773215688040062,0.8829742284033609,272,100.0,5
HLS,Bosque seco,00000000000000000004,2021-07-28,2021-08-05,30,0.5229415359837513,0.590815445726306,0.7260932247898431,0.9031471308013633,0.9069585278353279,0.911482273968128,271,100.0,5
HLS,Pastos limpios,00000000000000000000,2021-08-05,2021-08-13,30,0.5819628761493187,0.6359360228505039,0.6981276224630073,0.8630354161118319,0.8752867400161748,0.8869412728620211,282,97.5388034878398,8
HLS,Manglar,00000000000000000003,2021-08-05,2021-08-13,30,0.7802374044466183,0.794507544458921,0.8035910188428866,0.8682876378360146,0.8756035002285485,0.8826130661981033,272,100.0,8
HLS,Bosque seco,00000000000000000004,2021-08-05,2021-08-13,30,0.5416798695045593,0.601809967361738,0.7545515862518654,0.9031486436793343,0.9077344936228688,0.9109101769777046,271,100.0,8
HLS,Manglar,00000000000000000003,2021-08-13,2021-08-21,30,0.7966483573109726,0.8095470030492038,0.8246986847774592,0.8840555662674094,0.8885449144407507,0.892102858984887,272,100.0,4
HLS,Bosque seco,00000000000000000004,2021-08-13,2021-08-21,30,0.6014042745045837,0.6459675428070493,0.7671882423339634,0.9150817589315539,0.9167409362049902,0.9189884000027093,241,90.93194618096344,4
HLS,Manglar,00000000000000000003,2021-08-21,2021-08-29,30,0.7589397393643872,0.7712712686023534,0.7766223026408147,0.8323475471683635,0.8343822300613419,0.8382120837053944,214,81.08225120075342,6
HLS,Manglar,00000000000000000003,2021-09-06,2021-09-14,30,0.7757054086839756,0.7877697432011632,0.7965772144789155,0.8645169664518249,0.8697708180160558,0.8745164202496616,272,100.0,8
HLS,Manglar,00000000000000000003,2021-09-14,2021-09-22,30,0.7850558200505482,0.7975888326990221,0.8106397993640867,0.8747457495059522,0.8781438689430338,0.8822440237957276,272,100.0,6
HLS,Pastos limpios,00000000000000000000,2021-09-22,2021-09-30,30,0.6338028066196929,0.6865671590722068,0.7181173632996072,0.8663474672698268,0.8742023695398566,0.8820309878044307,284,98.35920160362498,5
HLS,Palma,00000000000000000001,2021-09-22,2021-09-30,30,0.712871296915771,0.7284575067557029,0.7782978741044154,0.8899650279672157,0.8920804220318161,0.8950482725687835,242,86.42298557808078,5
HLS,Manglar,00000000000000000003,2021-09-22,2021-09-30,30,0.7708533015934786,0.7830532223480104,0.7938039471807177,0.8607495912235489,0.8637112860631424,0.8674392625888526,272,100.0,5
HLS,Bosque seco,00000000000000000004,2021-09-22,2021-09-30,30,0.6733556118437574,0.7041850910126564,0.7847174516807556,0.8958899612253236,0.8993692483436465,0.9030922825749436,271,100.0,5
HLS,Bosque seco,00000000000000000004,2021-09-30,2021-10-08,30,0.657794658709862,0.717641177777457,0.7761061343368757,0.8858465955763964,0.8895403401418094,0.8932164644291393,270,99.9372280066452,6
HLS,Pastos limpios,00000000000000000000,2021-10-24,2021-11-01,30,0.5695501724751442,0.6500269012500737,0.693216702592465,0.8496444553280608,0.8612546502309938,0.8764035371029386,288,100.0,6
HLS,Palma,00000000000000000001,2021-10-24,2021-11-01,30,0.7534392774414973,0.7860991272463641,0.8001722730131707,0.9027046884273372,0.9087982867346038,0.9198435975299268,286,100.0,6
HLS,Bananera,00000000000000000002,2021-10-24,2021-11-01,30,0.6377213596986919,0.7803940458511096,0.8476544344576308,0.904070277852888,0.907715987823658,0.9118644421510272,287,100.0,6
HLS,Manglar,00000000000000000003,2021-10-24,2021-11-01,30,0.7540077297818926,0.7767721132211797,0.7911786649387805,0.8686293618518954,0.8744019166935155,0.8782608695652174,272,100.0,6
HLS,Bosque seco,00000000000000000004,2021-10-24,2021-11-01,30,0.6641975312616527,0.7336774174792463,0.7884921540957269,0.9112703859537784,0.913149197373001,0.916774513860274,271,100.0,6
HLS,Pastos limpios,00000000000000000000,2021-11-09,2021-11-17,30,0.692720463508297,0.7199183407708784,0.7370380984679679,0.8466802142526547,0.858556430411248,0.8718002777728311,280,98.24982849760237,8
HLS,Manglar,00000000000000000003,2021-11-09,2021-11-17,30,0.6985650961649682,0.7227221705007054,0.739483026752135,0.8460203029088867,0.8541518126865958,0.8565465826451006,272,100.0,8
HLS,Pastos limpios,00000000000000000000,2021-11-17,2021-11-25,30,0.659818109219564,0.6956819800099238,0.7195864765804659,0.8447011726128364,0.8568720885226356,0.8702616187446856,288,100.0,9
HLS,Palma,00000000000000000001,2021-11-17,2021-11-25,30,0.6787271069833033,0.7397260345043692,0.8008948530573007,0.8995176022053163,0.9014691224349058,0.9033720559986009,286,100.0,9
HLS,Bananera,00000000000000000002,2021-11-17,2021-11-25,30,0.5609951936728664,0.7957299187933247,0.8389384563964949,0.8925003842169377,0.8925003842169377,0.905368243802852,287,100.0,9
HLS,Manglar,00000000000000000003,2021-11-17,2021-11-25,30,0.7353108937042795,0.7507877372615716,0.7662753465228157,0.8648626274188403,0.874681613880018,0.8800097101859844,272,100.0,9
HLS,Pastos limpios,00000000000000000000,2021-11-25,2021-12-03,30,0.6727941262489695,0.704684328690175,0.7346205126228891,0.8623431830037287,0.8754027194251692,0.8872707686914353,288,100.0,8
HLS,Palma,00000000000000000001,2021-11-25,2021-12-03,30,0.6777482325058615,0.7462023913194451,0.7959078858944364,0.9095694073183458,0.9128766149920723,0.9189330493948771,286,100.0,8
HLS,Bananera,00000000000000000002,2021-11-25,2021-12-03,30,0.582716644666792,0.8131607826981897,0.8620286506219731,0.911962973686849,0.911962973686849,0.9145506256209357,287,100.0,8
