source,station,period_start,period_end,albedo_mean,albedo_coverage_pct
HLS,Palma,2022-05-25,2022-06-02,0.16536579706283727,42.46780941574464
HLS,Bananera,2022-05-25,2022-06-02,0.176523016211696,84.31983400151323
HLS,Manglar,2022-05-25,2022-06-02,0.14649662080644346,99.02027247771824
HLS,Bosque seco,2022-05-25,2022-06-02,0.1735083801793005,99.81994039772884
S2,Pastos limpios,2022-05-25,2022-06-02,0.15215307391056104,99.30446564784161
S2,Palma,2022-05-25,2022-06-02,0.1747559508108729,92.02391023480003
S2,Bananera,2022-05-25,2022-06-02,0.17929386841452669,96.15327628742052
S2,Manglar,2022-05-25,2022-06-02,0.15498280729615385,99.30135845474761
S2,Bosque seco,2022-05-25,2022-06-02,0.18614591300026487,99.30332326371534
HLS,Pastos limpios,2022-06-02,2022-06-10,0.1466612008457065,5.792007517428474
HLS,Palma,2022-06-02,2022-06-10,0.17929936280524292,99.84364301676337
HLS,Bananera,2022-06-02,2022-06-10,,0.0
HLS,Manglar,2022-06-02,2022-06-10,0.17714777614658736,40.98809419417642
HLS,Bosque seco,2022-06-02,2022-06-10,0.18160277433536734,99.81994039772884
S2,Pastos limpios,2022-06-02,2022-06-10,0.16471445722306363,92.75298644082875
S2,Palma,2022-06-02,2022-06-10,0.20264516005341873,96.39211267016404
S2,Bananera,2022-06-02,2022-06-10,0.24394783293964917,18.702819806698265
S2,Manglar,2022-06-02,2022-06-10,0.17481837198536823,95.09291740103453
S2,Bosque seco,2022-06-02,2022-06-10,0.20648682951448827,99.30332326371534
HLS,Pastos limpios,2022-06-26,2022-07-04,0.10667632072873635,99.82205471792155
HLS,Palma,2022-06-26,2022-07-04,,0.0
HLS,Bananera,2022-06-26,2022-07-04,,0.0
HLS,Manglar,2022-06-26,2022-07-04,0.13567556376709003,10.998632149966426
HLS,Bosque seco,2022-06-26,2022-07-04,0.1556886090924847,99.81994039772884
S2,Pastos limpios,2022-06-26,2022-07-04,0.10529951307654255,97.27051188545869
S2,Palma,2022-06-26,2022-07-04,0.2389544093566352,5.960584954544587
S2,Bananera,2022-06-26,2022-07-04,0.22543513990001932,69.94558745981102
S2,Manglar,2022-06-26,2022-07-04,0.2375293360646995,90.59982491542999
S2,Bosque seco,2022-06-26,2022-07-04,0.188258897542875,99.30332326371534
HLS,Pastos limpios,2022-07-04,2022-07-12,0.1257239010664099,57.81061636848646
HLS,Palma,2022-07-04,2022-07-12,0.15245968933875448,99.84364301677358
HLS,Bananera,2022-07-04,2022-07-12,0.1808226500360243,66.80261778751598
HLS,Manglar,2022-07-04,2022-07-12,0.15539088525707967,99.02027247771824
HLS,Bosque seco,2022-07-04,2022-07-12,0.1629620851731091,99.81994039772884
S2,Pastos limpios,2022-07-04,2022-07-12,0.1380997534437239,99.30446564784161
S2,Palma,2022-07-04,2022-07-12,0.19446461925752972,26.72096704264625
S2,Bananera,2022-07-04,2022-07-12,0.20412742038437084,99.28874005452272
S2,Manglar,2022-07-04,2022-07-12,0.16780092360138896,99.30135845474761
S2,Bosque seco,2022-07-04,2022-07-12,0.1839288508925734,99.30332326371534
HLS,Pastos limpios,2022-07-12,2022-07-20,0.15274682462486486,35.25921312974545
HLS,Palma,2022-07-12,2022-07-20,0.17960845547745252,71.95304274193767
HLS,Bananera,2022-07-12,2022-07-20,0.21696516399911153,14.273290262019207
HLS,Manglar,2022-07-12,2022-07-20,0.15807366392724556,99.02027247771824
HLS,Bosque seco,2022-07-12,2022-07-20,0.16543640095511614,99.81994039772884
S2,Pastos limpios,2022-07-12,2022-07-20,0.14609999588615974,99.30446564784161
S2,Palma,2022-07-12,2022-07-20,0.21368238207010076,99.30422502238977
S2,Bananera,2022-07-12,2022-07-20,0.2186478494499347,97.57220853960447
S2,Manglar,2022-07-12,2022-07-20,0.18126384437182855,99.30135845474761
S2,Bosque seco,2022-07-12,2022-07-20,0.18583993060360798,99.30332326371534
HLS,Pastos limpios,2022-08-13,2022-08-21,0.13587999245198254,99.82205471788723
HLS,Palma,2022-08-13,2022-08-21,0.18225876864729698,0.6215049970394488
HLS,Bananera,2022-08-13,2022-08-21,0.18535636687916532,55.3780415162742
HLS,Manglar,2022-08-13,2022-08-21,0.1567754195455078,99.02027247771824
HLS,Bosque seco,2022-08-13,2022-08-21,0.15701612153898356,99.81994039772884
S2,Pastos limpios,2022-08-13,2022-08-21,0.17433518322943253,99.30446564784161
S2,Palma,2022-08-13,2022-08-21,0.18395493112222902,30.28122871456164
S2,Bananera,2022-08-13,2022-08-21,0.2544027332867052,35.03816293072931
S2,Manglar,2022-08-13,2022-08-21,0.1765921742604068,76.27678537185649
S2,Bosque seco,2022-08-13,2022-08-21,0.20351771111877034,38.85489472948312
HLS,Pastos limpios,2022-08-29,2022-09-06,0.1476157779468991,55.74562707152482
HLS,Palma,2022-08-29,2022-09-06,0.19760644811763065,1.230164671606307
HLS,Bananera,2022-08-29,2022-09-06,0.1864481094667383,13.690298818816382
HLS,Manglar,2022-08-29,2022-09-06,0.17990725946620523,90.77448509222475
HLS,Bosque seco,2022-08-29,2022-09-06,0.18362459760013078,54.734518135219126
S2,Pastos limpios,2022-08-29,2022-09-06,0.17044980319582115,99.30446564784161
S2,Palma,2022-08-29,2022-09-06,0.2112274560469737,86.9448063799468
S2,Bananera,2022-08-29,2022-09-06,0.2210909340121625,81.33887352405297
S2,Manglar,2022-08-29,2022-09-06,0.20724242826513703,99.30135845474761
S2,Bosque seco,2022-08-29,2022-09-06,0.1945248403106366,97.79379528477794
HLS,Pastos limpios,2022-09-06,2022-09-14,,0.0
HLS,Palma,2022-09-06,2022-09-14,0.20551872684670922,6.033547156550107
HLS,Bananera,2022-09-06,2022-09-14,,0.0
HLS,Manglar,2022-09-06,2022-09-14,0.16892223532316195,84.7615213318512
HLS,Bosque seco,2022-09-06,2022-09-14,0.1671399747104316,99.81994039772884
S2,Pastos limpios,2022-09-06,2022-09-14,,0.0
S2,Palma,2022-09-06,2022-09-14,0.25244983651506714,55.2997359400682
S2,Bananera,2022-09-06,2022-09-14,0.18723383784315592,0.5802652520975903
S2,Manglar,2022-09-06,2022-09-14,0.19917646023830418,99.30135845474761
S2,Bosque seco,2022-09-06,2022-09-14,0.1842377572302044,99.30332326371534
HLS,Pastos limpios,2022-09-14,2022-09-22,0.11277185751721526,6.944924226332365
HLS,Palma,2022-09-14,2022-09-22,,0.0
HLS,Bananera,2022-09-14,2022-09-22,0.20903856484125902,44.64748690206567
HLS,Manglar,2022-09-14,2022-09-22,0.16213987141798367,99.02027247771824
HLS,Bosque seco,2022-09-14,2022-09-22,,0.0
S2,Pastos limpios,2022-09-14,2022-09-22,0.14713206533472842,91.46620589829539
S2,Palma,2022-09-14,2022-09-22,0.20013151692506384,8.530085343837198
S2,Bananera,2022-09-14,2022-09-22,0.24711355164923843,89.96374102448753
S2,Manglar,2022-09-14,2022-09-22,0.18399966126536008,99.30135845474761
S2,Bosque seco,2022-09-14,2022-09-22,0.2179122443925885,23.30612600281338
HLS,Pastos limpios,2022-09-30,2022-10-08,0.13994002754393006,27.230475619292008
HLS,Palma,2022-09-30,2022-10-08,0.16203262396429588,80.38598795069443
HLS,Bananera,2022-09-30,2022-10-08,0.18376524137125377,60.981297572587664
HLS,Manglar,2022-09-30,2022-10-08,,0.0
HLS,Bosque seco,2022-09-30,2022-10-08,0.16038952897619374,19.721463406754292
S2,Pastos limpios,2022-09-30,2022-10-08,0.1372030163582399,99.30446564787574
S2,Palma,2022-09-30,2022-10-08,0.1865409145312109,99.30422502237963
S2,Bananera,2022-09-30,2022-10-08,0.216593544376051,99.28874005455988
S2,Manglar,2022-09-30,2022-10-08,0.2001560012324347,63.411647091214995
S2,Bosque seco,2022-09-30,2022-10-08,0.19666429705195254,98.61997412903395
HLS,Pastos limpios,2022-10-08,2022-10-16,0.13048979153298554,87.45604169351195
HLS,Palma,2022-10-08,2022-10-16,0.19388704652271943,64.44202314049397
